"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00061,3.8333e-06,0.0001,461.51,0,0,0,0,0,1,0,0,0,0,4680
0.00062,0,0.0001,338.38,0,0,0,0,0,1,0,0,0,0,4680
0.00062,3.8333e-06,0.0001,461.61,0,0,0,0,0,1,0,0,0,0,4680
0.00063,0,0.0001,337.5,0,0,0,0,0,1,0,0,0,0,4680
0.00063,3.8333e-06,0.0001,457.78,0,0,0,0,0,1,0,0,0,0,4680
0.00064,0,0.0001,335.35,0,0,0,0,0,1,0,0,0,0,4680
0.00064,3.8333e-06,0.0001,449.5,0,0,0,0,0,1,0,0,0,0,4680
0.00065,0,0.0001,331.9,0,0,0,0,0,1,0,0,0,0,4680
0.00065,3.8333e-06,0.0001,436.73,0,0,0,0,0,1,0,0,0,0,4680
0.00066,0,0.0001,327.35,0,0,0,0,0,1,0,0,0,0,4680
0.00066,3.8333e-06,0.0001,420.1,0,0,0,0,0,1,0,0,0,0,4680
0.00067,0,0.0001,322.06,0,0,0,0,0,1,0,0,0,0,4680
0.00067,3.8333e-06,0.0001,400.85,0,0,0,0,0,1,0,0,0,0,4680
0.00068,0,0.0001,316.5,0,0,0,0,0,1,0,0,0,0,4680
0.00068,3.8333e-06,0.0001,380.6,0,0,0,0,0,1,0,0,0,0,4680
0.00069,0,0.0001,311.16,0,0,0,0,0,1,0,0,0,0,4680
0.00069,3.8333e-06,0.0001,361.05,0,0,0,0,0,1,0,0,0,0,4680
0.0007,0,0.0001,306.43,0,0,0,0,0,1,0,0,0,0,4680
0.0007,3.8333e-06,0.0001,343.58,0,0,0,0,0,1,0,0,0,0,4680
0.00071,0,0.0001,302.53,0,0,0,0,0,1,0,0,0,0,4680
0.00071,3.8333e-06,0.0001,329.05,0,0,0,0,0,1,0,0,0,0,4680
0.00072,0,0.0001,299.52,0,0,0,0,0,1,0,0,0,0,4680
0.00072,3.8333e-06,0.0001,317.73,0,0,0,0,0,1,0,0,0,0,4680
0.00073,0,0.0001,297.33,0,0,0,0,0,1,0,0,0,0,4680
0.00073,3.8333e-06,0.0001,309.42,0,0,0,0,0,1,0,0,0,0,4680
0.00074,0,0.0001,295.82,0,0,0,0,0,1,0,0,0,0,4680
0.00074,3.8333e-06,0.0001,303.6,0,0,0,0,0,1,0,0,0,0,4680
