"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00055,0,0.0001,327.17,0,0,0,0,0,1,0,0,0,0,4680
0.00055,3.8333e-06,0.0001,423.3,0,0,0,0,0,1,0,0,0,0,4680
0.00056,0,0.0001,329.8,0,0,0,0,0,1,0,0,0,0,4680
0.00056,3.8333e-06,0.0001,432.88,0,0,0,0,0,1,0,0,0,0,4680
0.00057,0,0.0001,332.47,0,0,0,0,0,1,0,0,0,0,4680
0.00057,3.8333e-06,0.0001,442.52,0,0,0,0,0,1,0,0,0,0,4680
0.00058,0,0.0001,335.1,0,0,0,0,0,1,0,0,0,0,4680
0.00058,3.8333e-06,0.0001,451.85,0,0,0,0,0,1,0,0,0,0,4680
0.00059,0,0.0001,337.55,0,0,0,0,0,1,0,0,0,0,4680
0.00059,3.8333e-06,0.0001,460.37,0,0,0,0,0,1,0,0,0,0,4680
0.0006,0,0.0001,339.63,0,0,0,0,0,1,0,0,0,0,4680
0.0006,3.8333e-06,0.0001,467.37,0,0,0,0,0,1,0,0,0,0,4680
0.00061,0,0.0001,341.05,0,0,0,0,0,1,0,0,0,0,4680
0.00061,3.8333e-06,0.0001,471.92,0,0,0,0,0,1,0,0,0,0,4680
0.00062,0,0.0001,341.54,0,0,0,0,0,1,0,0,0,0,4680
0.00062,3.8333e-06,0.0001,473.02,0,0,0,0,0,1,0,0,0,0,4680
0.00063,0,0.0001,340.78,0,0,0,0,0,1,0,0,0,0,4680
0.00063,3.8333e-06,0.0001,469.75,0,0,0,0,0,1,0,0,0,0,4680
0.00064,0,0.0001,338.61,0,0,0,0,0,1,0,0,0,0,4680
0.00064,3.8333e-06,0.0001,461.48,0,0,0,0,0,1,0,0,0,0,4680
0.00065,0,0.0001,334.99,0,0,0,0,0,1,0,0,0,0,4680
0.00065,3.8333e-06,0.0001,448.21,0,0,0,0,0,1,0,0,0,0,4680
0.00066,0,0.0001,330.15,0,0,0,0,0,1,0,0,0,0,4680
0.00066,3.8333e-06,0.0001,430.62,0,0,0,0,0,1,0,0,0,0,4680
0.00067,0,0.0001,324.48,0,0,0,0,0,1,0,0,0,0,4680
0.00067,3.8333e-06,0.0001,410.06,0,0,0,0,0,1,0,0,0,0,4680
0.00068,0,0.0001,318.51,0,0,0,0,0,1,0,0,0,0,4680
0.00068,3.8333e-06,0.0001,388.35,0,0,0,0,0,1,0,0,0,0,4680
0.00069,0,0.0001,312.77,0,0,0,0,0,1,0,0,0,0,4680
0.00069,3.8333e-06,0.0001,367.32,0,0,0,0,0,1,0,0,0,0,4680
0.0007,0,0.0001,307.68,0,0,0,0,0,1,0,0,0,0,4680
0.0007,3.8333e-06,0.0001,348.49,0,0,0,0,0,1,0,0,0,0,4680
0.00071,0,0.0001,303.48,0,0,0,0,0,1,0,0,0,0,4680
0.00071,3.8333e-06,0.0001,332.8,0,0,0,0,0,1,0,0,0,0,4680
0.00072,0,0.0001,300.22,0,0,0,0,0,1,0,0,0,0,4680
0.00072,3.8333e-06,0.0001,320.51,0,0,0,0,0,1,0,0,0,0,4680
0.00073,0,0.0001,297.84,0,0,0,0,0,1,0,0,0,0,4680
0.00073,3.8333e-06,0.0001,311.44,0,0,0,0,0,1,0,0,0,0,4680
